source_system,source_customer_id,expected_golden_customer_id
B4T,B4T_3B78115CA5AD,P00000001
OPERA,OPERA_640059D476F2,P00000002
B4T,B4T_031D17FDBBB0,P00000002
BRAZE,BRAZE_21F4A75FE7E7,P00000003
APP,APP_62CF384BDFF7,P00000003
OPERA,OPERA_64D49E46C4F9,P00000004
OPERA,OPERA_467456D13FEE,P00000005
BRAZE,BRAZE_E6D070A1FC36,P00000006
B4T,B4T_4BFF8EF76F1F,P00000007
APP,APP_5F865A822DAA,P00000007
OPERA,OPERA_178EF40E81DD,P00000008
B4T,B4T_16F29F2F29FF,P00000009
OPERA,OPERA_31275EC0EE31,P00000010
APP,APP_E4BBEA03652A,P00000010
OPERA,OPERA_710482AD2B53,P00000011
OPERA,OPERA_59EA8F8B6F17,P00000012
OPERA,OPERA_D7CEB205EE73,P00000013
B4T,B4T_DF9722063C9F,P00000014
APP,APP_267902D712D7,P00000015
OPERA,OPERA_C872A5D5A64B,P00000016
B4T,B4T_F7EA9B14E4AF,P00000016
B4T,B4T_AA95ABE4E9EF,P00000016
B4T,B4T_E373613D4A97,P00000017
BRAZE,BRAZE_B4EE694BFDE8,P00000018
APP,APP_467B51505E9E,P00000019
BRAZE,BRAZE_04F19D4F2842,P00000020
B4T,B4T_D21AEDC0C990,P00000021
BRAZE,BRAZE_46932E188197,P00000022
BRAZE,BRAZE_630DEE8AD142,P00000023
APP,APP_218D651B57F0,P00000024
OPERA,OPERA_576454EA8F15,P00000024
B4T,B4T_474AA8D3A29B,P00000024
OPERA,OPERA_1BF364996ABE,P00000025
OPERA,OPERA_5EC7154AACF9,P00000026
B4T,B4T_8292B8C9DF59,P00000027
OPERA,OPERA_0ECBA3320FFB,P00000028
APP,APP_CB4DE5E0B87C,P00000029
B4T,B4T_E3CBBA191878,P00000029
B4T,B4T_909BC60CFB45,P00000030
BRAZE,BRAZE_35C5768E5483,P00000031
BRAZE,BRAZE_4577F41CEC59,P00000032
B4T,B4T_17A7EBD25502,P00000033
OPERA,OPERA_BDBF7EEB3082,P00000034
BRAZE,BRAZE_D281FE6998F9,P00000035
B4T,B4T_76F71162FCA0,P00000036
BRAZE,BRAZE_9CFBC50F301B,P00000037
BRAZE,BRAZE_5EBE87D9E675,P00000038
OPERA,OPERA_B7B39B41D9A5,P00000039
OPERA,OPERA_F2580C5A76EF,P00000040
BRAZE,BRAZE_845CB76DAE17,P00000041
OPERA,OPERA_3A5834C84554,P00000042
OPERA,OPERA_B625F3ABE1BE,P00000043
BRAZE,BRAZE_61C639466EEE,P00000044
BRAZE,BRAZE_4B32361ADC40,P00000045
BRAZE,BRAZE_C264C0F6FE91,P00000046
OPERA,OPERA_2620A83EFACE,P00000047
OPERA,OPERA_2C06D0994657,P00000048
APP,APP_D228B8A36186,P00000048
BRAZE,BRAZE_EF0C26D619A5,P00000049
BRAZE,BRAZE_A970F4E5BFD6,P00000050
B4T,B4T_3B70A36F57C0,P00000050
OPERA,OPERA_BA8FF36AD152,P00000051
BRAZE,BRAZE_ED104D38D0F0,P00000052
OPERA,OPERA_7548BF2FD4EB,P00000053
OPERA,OPERA_EBE83D438ECA,P00000054
BRAZE,BRAZE_6FAC1E4E44C0,P00000054
APP,APP_D96B7A31EE66,P00000054
OPERA,OPERA_CE89658BAE5F,P00000055
B4T,B4T_32FBA3E2E148,P00000056
OPERA,OPERA_D878E8EC0492,P00000057
BRAZE,BRAZE_341A19F95E54,P00000058
BRAZE,BRAZE_F29E359F8F42,P00000059
BRAZE,BRAZE_9E0DA3266FFE,P00000060
OPERA,OPERA_48021A40BE2C,P00000061
BRAZE,BRAZE_922B11169164,P00000062
BRAZE,BRAZE_A3DDF19F142B,P00000063
B4T,B4T_06D55663E861,P00000064
OPERA,OPERA_9D524FF241D9,P00000064
OPERA,OPERA_E004A829AD63,P00000065
BRAZE,BRAZE_55F19350C916,P00000066
APP,APP_B94F59E82BB6,P00000066
BRAZE,BRAZE_643BFE04D91E,P00000067
B4T,B4T_90CFD6A7894F,P00000068
BRAZE,BRAZE_CC3CB4226B4C,P00000068
OPERA,OPERA_3F6FA9F7F0DE,P00000069
BRAZE,BRAZE_273DAFE18B9C,P00000070
B4T,B4T_61ECEE9BB860,P00000071
OPERA,OPERA_46B9F2839A89,P00000072
APP,APP_27CDC52E5E0B,P00000073
B4T,B4T_C0C0AA22D765,P00000074
OPERA,OPERA_1D7F38D83D4F,P00000075
BRAZE,BRAZE_8D3B8AC56C65,P00000076
BRAZE,BRAZE_3ABEB1B18096,P00000077
B4T,B4T_D71F2155A3C4,P00000078
OPERA,OPERA_02276062F982,P00000078
OPERA,OPERA_D6F92F75425C,P00000078
OPERA,OPERA_D913C411BF30,P00000079
OPERA,OPERA_33AE2F3D4AEA,P00000080
APP,APP_7BF4FF4EC5BA,P00000081
BRAZE,BRAZE_8D2EDD0AC7CC,P00000081
B4T,B4T_A9288BF25644,P00000081
BRAZE,BRAZE_72058FF55E99,P00000082
BRAZE,BRAZE_096F898ECDE3,P00000082
OPERA,OPERA_B409E0AB8064,P00000083
APP,APP_82CDD7D87D6F,P00000084
OPERA,OPERA_859FDB76FA84,P00000085
APP,APP_709FAE9FBD42,P00000086
BRAZE,BRAZE_A60CE5D5A180,P00000087
OPERA,OPERA_39727884D2CA,P00000088
BRAZE,BRAZE_75701B72EAE1,P00000089
APP,APP_E8B5E65808F1,P00000089
OPERA,OPERA_C181F4D8AD50,P00000090
OPERA,OPERA_6E0F8B436F52,P00000091
B4T,B4T_0BA4D134C90A,P00000091
BRAZE,BRAZE_82B74BFA14FB,P00000092
B4T,B4T_E44981F91012,P00000093
